OperationType,StartTime,EndTime,Duration(ms)
Put,2024-12-11 03:16:27.863392513 +0000 UTC m=+2.383384668,2024-12-11 03:16:27.877432013 +0000 UTC m=+2.397424168,14
Get,2024-12-11 03:16:27.866392304 +0000 UTC m=+2.386384460,2024-12-11 03:16:27.877658638 +0000 UTC m=+2.397650793,11
Put,2024-12-11 03:16:27.871594429 +0000 UTC m=+2.391586627,2024-12-11 03:16:27.883288179 +0000 UTC m=+2.403280335,11
Put,2024-12-11 03:16:27.872418138 +0000 UTC m=+2.392410293,2024-12-11 03:16:27.884265721 +0000 UTC m=+2.404257877,11
Put,2024-12-11 03:16:27.877410596 +0000 UTC m=+2.397402752,2024-12-11 03:16:27.888346346 +0000 UTC m=+2.408338544,10
Put,2024-12-11 03:16:27.877387721 +0000 UTC m=+2.397379877,2024-12-11 03:16:27.888362346 +0000 UTC m=+2.408354502,10
Put,2024-12-11 03:16:27.877435513 +0000 UTC m=+2.397427668,2024-12-11 03:16:27.88984543 +0000 UTC m=+2.409837585,12
Put,2024-12-11 03:16:27.877661179 +0000 UTC m=+2.397653335,2024-12-11 03:16:27.89244443 +0000 UTC m=+2.412436585,14
Put,2024-12-11 03:16:27.883291679 +0000 UTC m=+2.403283835,2024-12-11 03:16:27.89465768 +0000 UTC m=+2.414649835,11
Put,2024-12-11 03:16:27.884268429 +0000 UTC m=+2.404260585,2024-12-11 03:16:27.89525143 +0000 UTC m=+2.415243585,10
Put,2024-12-11 03:16:27.888350971 +0000 UTC m=+2.408343127,2024-12-11 03:16:27.900320471 +0000 UTC m=+2.420312627,11
Get,2024-12-11 03:16:27.88836643 +0000 UTC m=+2.408358585,2024-12-11 03:16:27.90034243 +0000 UTC m=+2.420334585,11
Get,2024-12-11 03:16:27.88984843 +0000 UTC m=+2.409840585,2024-12-11 03:16:27.900760221 +0000 UTC m=+2.420752377,10
Put,2024-12-11 03:16:27.89244768 +0000 UTC m=+2.412439835,2024-12-11 03:16:27.903856346 +0000 UTC m=+2.423848502,11
Put,2024-12-11 03:16:27.895255221 +0000 UTC m=+2.415247377,2024-12-11 03:16:27.906365346 +0000 UTC m=+2.426357544,11
Get,2024-12-11 03:16:27.894661763 +0000 UTC m=+2.414653960,2024-12-11 03:16:27.906426263 +0000 UTC m=+2.426418419,11
Get,2024-12-11 03:16:27.900323721 +0000 UTC m=+2.420315877,2024-12-11 03:16:27.911556221 +0000 UTC m=+2.431548377,11
Put,2024-12-11 03:16:27.900345513 +0000 UTC m=+2.420337669,2024-12-11 03:16:27.914411805 +0000 UTC m=+2.434404002,14
Put,2024-12-11 03:16:27.900763471 +0000 UTC m=+2.420755669,2024-12-11 03:16:27.91477743 +0000 UTC m=+2.434769627,14
Get,2024-12-11 03:16:27.903859221 +0000 UTC m=+2.423851377,2024-12-11 03:16:27.916501263 +0000 UTC m=+2.436493460,12
Put,2024-12-11 03:16:27.906428513 +0000 UTC m=+2.426420669,2024-12-11 03:16:27.920400388 +0000 UTC m=+2.440392544,13
Get,2024-12-11 03:16:27.906369638 +0000 UTC m=+2.426361794,2024-12-11 03:16:27.921241846 +0000 UTC m=+2.441234044,14
Put,2024-12-11 03:16:27.911560013 +0000 UTC m=+2.431552169,2024-12-11 03:16:27.923201013 +0000 UTC m=+2.443193169,11
Get,2024-12-11 03:16:27.914781388 +0000 UTC m=+2.434773544,2024-12-11 03:16:27.925556263 +0000 UTC m=+2.445548460,10
Put,2024-12-11 03:16:27.914415763 +0000 UTC m=+2.434407919,2024-12-11 03:16:27.927507388 +0000 UTC m=+2.447499544,13
Put,2024-12-11 03:16:27.916506846 +0000 UTC m=+2.436499002,2024-12-11 03:16:27.928813305 +0000 UTC m=+2.448805502,12
Put,2024-12-11 03:16:27.920403138 +0000 UTC m=+2.440395335,2024-12-11 03:16:27.93231668 +0000 UTC m=+2.452308835,11
Get,2024-12-11 03:16:27.921245638 +0000 UTC m=+2.441237835,2024-12-11 03:16:27.933437638 +0000 UTC m=+2.453429794,12
Get,2024-12-11 03:16:27.923205555 +0000 UTC m=+2.443197710,2024-12-11 03:16:27.937618596 +0000 UTC m=+2.457610752,14
Put,2024-12-11 03:16:27.925559805 +0000 UTC m=+2.445551960,2024-12-11 03:16:27.941479055 +0000 UTC m=+2.461471210,15
Put,2024-12-11 03:16:27.92881718 +0000 UTC m=+2.448809335,2024-12-11 03:16:27.943512138 +0000 UTC m=+2.463504335,14
Put,2024-12-11 03:16:27.927510721 +0000 UTC m=+2.447502877,2024-12-11 03:16:27.944257471 +0000 UTC m=+2.464249627,16
Put,2024-12-11 03:16:27.933458513 +0000 UTC m=+2.453450669,2024-12-11 03:16:27.94670318 +0000 UTC m=+2.466695335,13
Put,2024-12-11 03:16:27.93393168 +0000 UTC m=+2.453923835,2024-12-11 03:16:27.947260221 +0000 UTC m=+2.467252377,13
Put,2024-12-11 03:16:27.93762143 +0000 UTC m=+2.457613585,2024-12-11 03:16:27.94893168 +0000 UTC m=+2.468923877,11
Put,2024-12-11 03:16:27.941483721 +0000 UTC m=+2.461475877,2024-12-11 03:16:27.954181346 +0000 UTC m=+2.474173502,12
Put,2024-12-11 03:16:27.94351743 +0000 UTC m=+2.463509585,2024-12-11 03:16:27.955423346 +0000 UTC m=+2.475415502,11
Put,2024-12-11 03:16:27.944261555 +0000 UTC m=+2.464253710,2024-12-11 03:16:27.955429138 +0000 UTC m=+2.475421294,11
Get,2024-12-11 03:16:27.946709263 +0000 UTC m=+2.466701419,2024-12-11 03:16:27.959141513 +0000 UTC m=+2.479133669,12
Put,2024-12-11 03:16:27.948935555 +0000 UTC m=+2.468927710,2024-12-11 03:16:27.959987263 +0000 UTC m=+2.479979419,11
Put,2024-12-11 03:16:27.947264721 +0000 UTC m=+2.467256919,2024-12-11 03:16:27.960028805 +0000 UTC m=+2.480020960,12
Put,2024-12-11 03:16:27.954184555 +0000 UTC m=+2.474176710,2024-12-11 03:16:27.967882888 +0000 UTC m=+2.487875085,13
Put,2024-12-11 03:16:27.955432888 +0000 UTC m=+2.475425044,2024-12-11 03:16:27.969301846 +0000 UTC m=+2.489294002,13
Put,2024-12-11 03:16:27.959146888 +0000 UTC m=+2.479139044,2024-12-11 03:16:27.971028305 +0000 UTC m=+2.491020460,11
