OperationType,StartTime,EndTime,Duration(ms)
Get,2024-12-11 03:16:31.54896325 +0000 UTC m=+6.067379920,2024-12-11 03:16:31.561065959 +0000 UTC m=+6.079482587,12
Put,2024-12-11 03:16:31.549751209 +0000 UTC m=+6.068167837,2024-12-11 03:16:31.5661295 +0000 UTC m=+6.084546128,16
Get,2024-12-11 03:16:31.545278667 +0000 UTC m=+6.063695337,2024-12-11 03:16:31.566170667 +0000 UTC m=+6.084587337,20
Put,2024-12-11 03:16:31.552747459 +0000 UTC m=+6.071164128,2024-12-11 03:16:31.568543792 +0000 UTC m=+6.086960462,15
Get,2024-12-11 03:16:31.557690625 +0000 UTC m=+6.076107295,2024-12-11 03:16:31.576033084 +0000 UTC m=+6.094449712,18
Put,2024-12-11 03:16:31.556925375 +0000 UTC m=+6.075342045,2024-12-11 03:16:31.577825292 +0000 UTC m=+6.096241962,20
Put,2024-12-11 03:16:31.566172959 +0000 UTC m=+6.084589628,2024-12-11 03:16:31.58083825 +0000 UTC m=+6.099254920,14
Put,2024-12-11 03:16:31.561068042 +0000 UTC m=+6.079484670,2024-12-11 03:16:31.582429334 +0000 UTC m=+6.100846003,21
Put,2024-12-11 03:16:31.566132417 +0000 UTC m=+6.084549045,2024-12-11 03:16:31.584792042 +0000 UTC m=+6.103208670,18
Get,2024-12-11 03:16:31.576036292 +0000 UTC m=+6.094452962,2024-12-11 03:16:31.595379459 +0000 UTC m=+6.113796128,19
Put,2024-12-11 03:16:31.568545709 +0000 UTC m=+6.086962337,2024-12-11 03:16:31.596909709 +0000 UTC m=+6.115326378,28
Put,2024-12-11 03:16:31.577827084 +0000 UTC m=+6.096243753,2024-12-11 03:16:31.599998209 +0000 UTC m=+6.118414878,22
Put,2024-12-11 03:16:31.580841125 +0000 UTC m=+6.099257753,2024-12-11 03:16:31.604820125 +0000 UTC m=+6.123236795,23
Put,2024-12-11 03:16:31.584793959 +0000 UTC m=+6.103210587,2024-12-11 03:16:31.606234125 +0000 UTC m=+6.124650795,21
Put,2024-12-11 03:16:31.584511292 +0000 UTC m=+6.102927920,2024-12-11 03:16:31.608906917 +0000 UTC m=+6.127323587,24
Put,2024-12-11 03:16:31.596911959 +0000 UTC m=+6.115328628,2024-12-11 03:16:31.613106917 +0000 UTC m=+6.131523545,16
Put,2024-12-11 03:16:31.600000334 +0000 UTC m=+6.118416962,2024-12-11 03:16:31.617023334 +0000 UTC m=+6.135440003,17
Get,2024-12-11 03:16:31.606236584 +0000 UTC m=+6.124653253,2024-12-11 03:16:31.622800417 +0000 UTC m=+6.141217087,16
Put,2024-12-11 03:16:31.595383209 +0000 UTC m=+6.113799878,2024-12-11 03:16:31.623474042 +0000 UTC m=+6.141890712,28
Put,2024-12-11 03:16:31.604822667 +0000 UTC m=+6.123239295,2024-12-11 03:16:31.624938792 +0000 UTC m=+6.143355462,20
Put,2024-12-11 03:16:31.613109 +0000 UTC m=+6.131525670,2024-12-11 03:16:31.627119375 +0000 UTC m=+6.145536045,14
Get,2024-12-11 03:16:31.608909167 +0000 UTC m=+6.127325837,2024-12-11 03:16:31.635922167 +0000 UTC m=+6.154338837,27
Get,2024-12-11 03:16:31.622802375 +0000 UTC m=+6.141219003,2024-12-11 03:16:31.637260209 +0000 UTC m=+6.155676837,14
Put,2024-12-11 03:16:31.617026667 +0000 UTC m=+6.135443337,2024-12-11 03:16:31.640169084 +0000 UTC m=+6.158585712,23
Put,2024-12-11 03:16:31.623475709 +0000 UTC m=+6.141892378,2024-12-11 03:16:31.640437459 +0000 UTC m=+6.158854128,16
Put,2024-12-11 03:16:31.624941542 +0000 UTC m=+6.143358170,2024-12-11 03:16:31.6431555 +0000 UTC m=+6.161572128,18
Put,2024-12-11 03:16:31.635925792 +0000 UTC m=+6.154342462,2024-12-11 03:16:31.647870875 +0000 UTC m=+6.166287545,11
Put,2024-12-11 03:16:31.627121459 +0000 UTC m=+6.145538128,2024-12-11 03:16:31.648267084 +0000 UTC m=+6.166683712,21
Put,2024-12-11 03:16:31.637262334 +0000 UTC m=+6.155678962,2024-12-11 03:16:31.652605167 +0000 UTC m=+6.171021837,15
Put,2024-12-11 03:16:31.640171042 +0000 UTC m=+6.158587712,2024-12-11 03:16:31.654936417 +0000 UTC m=+6.173353087,14
Get,2024-12-11 03:16:31.640711 +0000 UTC m=+6.159127670,2024-12-11 03:16:31.660138834 +0000 UTC m=+6.178555503,19
Put,2024-12-11 03:16:31.643165334 +0000 UTC m=+6.161581962,2024-12-11 03:16:31.663360375 +0000 UTC m=+6.181777003,20
Put,2024-12-11 03:16:31.647872792 +0000 UTC m=+6.166289420,2024-12-11 03:16:31.663706917 +0000 UTC m=+6.182123587,15
Put,2024-12-11 03:16:31.648268667 +0000 UTC m=+6.166685337,2024-12-11 03:16:31.667898125 +0000 UTC m=+6.186314753,19
Put,2024-12-11 03:16:31.652607375 +0000 UTC m=+6.171024045,2024-12-11 03:16:31.670823834 +0000 UTC m=+6.189240503,18
Get,2024-12-11 03:16:31.660141 +0000 UTC m=+6.178557670,2024-12-11 03:16:31.67300025 +0000 UTC m=+6.191416920,12
Get,2024-12-11 03:16:31.654938542 +0000 UTC m=+6.173355170,2024-12-11 03:16:31.673865 +0000 UTC m=+6.192281628,18
Put,2024-12-11 03:16:31.663362667 +0000 UTC m=+6.181779295,2024-12-11 03:16:31.677087 +0000 UTC m=+6.195503670,13
Put,2024-12-11 03:16:31.663709 +0000 UTC m=+6.182125670,2024-12-11 03:16:31.678006292 +0000 UTC m=+6.196422962,14
Put,2024-12-11 03:16:31.66790075 +0000 UTC m=+6.186317420,2024-12-11 03:16:31.684328 +0000 UTC m=+6.202744670,16
Put,2024-12-11 03:16:31.670826042 +0000 UTC m=+6.189242712,2024-12-11 03:16:31.68448325 +0000 UTC m=+6.202899878,13
Put,2024-12-11 03:16:31.673866792 +0000 UTC m=+6.192283462,2024-12-11 03:16:31.688104542 +0000 UTC m=+6.206521170,14
Put,2024-12-11 03:16:31.678007709 +0000 UTC m=+6.196424378,2024-12-11 03:16:31.693353709 +0000 UTC m=+6.211770378,15
Put,2024-12-11 03:16:31.677089334 +0000 UTC m=+6.195506003,2024-12-11 03:16:31.694597417 +0000 UTC m=+6.213014087,17
Put,2024-12-11 03:16:31.67300275 +0000 UTC m=+6.191419420,2024-12-11 03:16:31.697459167 +0000 UTC m=+6.215875837,24
Put,2024-12-11 03:16:31.68433025 +0000 UTC m=+6.202746920,2024-12-11 03:16:31.698464334 +0000 UTC m=+6.216881003,14
Put,2024-12-11 03:16:31.684484667 +0000 UTC m=+6.202901295,2024-12-11 03:16:31.702153917 +0000 UTC m=+6.220570587,17
Get,2024-12-11 03:16:31.688106584 +0000 UTC m=+6.206523212,2024-12-11 03:16:31.706858209 +0000 UTC m=+6.225274837,18
Put,2024-12-11 03:16:31.694599375 +0000 UTC m=+6.213016003,2024-12-11 03:16:31.7071415 +0000 UTC m=+6.225558128,12
Get,2024-12-11 03:16:31.693626584 +0000 UTC m=+6.212043253,2024-12-11 03:16:31.709837292 +0000 UTC m=+6.228253962,16
Get,2024-12-11 03:16:31.697461625 +0000 UTC m=+6.215878253,2024-12-11 03:16:31.709912792 +0000 UTC m=+6.228329462,12
Get,2024-12-11 03:16:31.698466334 +0000 UTC m=+6.216882962,2024-12-11 03:16:31.714345417 +0000 UTC m=+6.232762087,15
Get,2024-12-11 03:16:31.702155875 +0000 UTC m=+6.220572503,2024-12-11 03:16:31.716903709 +0000 UTC m=+6.235320337,14
Put,2024-12-11 03:16:31.70983925 +0000 UTC m=+6.228255920,2024-12-11 03:16:31.717753167 +0000 UTC m=+6.236169837,7
Put,2024-12-11 03:16:31.7068605 +0000 UTC m=+6.225277128,2024-12-11 03:16:31.71887575 +0000 UTC m=+6.237292378,12
Put,2024-12-11 03:16:31.709914459 +0000 UTC m=+6.228331087,2024-12-11 03:16:31.727889959 +0000 UTC m=+6.246306628,17
Put,2024-12-11 03:16:31.707143167 +0000 UTC m=+6.225559795,2024-12-11 03:16:31.73208375 +0000 UTC m=+6.250500378,24
Put,2024-12-11 03:16:31.716905459 +0000 UTC m=+6.235322128,2024-12-11 03:16:31.733251667 +0000 UTC m=+6.251668337,16
Get,2024-12-11 03:16:31.718877667 +0000 UTC m=+6.237294295,2024-12-11 03:16:31.735512584 +0000 UTC m=+6.253929212,16
Put,2024-12-11 03:16:31.714347584 +0000 UTC m=+6.232764212,2024-12-11 03:16:31.736231709 +0000 UTC m=+6.254648337,21
Put,2024-12-11 03:16:31.717755584 +0000 UTC m=+6.236172212,2024-12-11 03:16:31.739048 +0000 UTC m=+6.257464670,21
Put,2024-12-11 03:16:31.73208625 +0000 UTC m=+6.250502878,2024-12-11 03:16:31.748016959 +0000 UTC m=+6.266433587,15
Put,2024-12-11 03:16:31.733253209 +0000 UTC m=+6.251669837,2024-12-11 03:16:31.748032209 +0000 UTC m=+6.266448878,14
Put,2024-12-11 03:16:31.727894 +0000 UTC m=+6.246310628,2024-12-11 03:16:31.749246459 +0000 UTC m=+6.267663087,21
Put,2024-12-11 03:16:31.73623375 +0000 UTC m=+6.254650420,2024-12-11 03:16:31.75420275 +0000 UTC m=+6.272619378,17
Put,2024-12-11 03:16:31.735514625 +0000 UTC m=+6.253931253,2024-12-11 03:16:31.757608459 +0000 UTC m=+6.276025128,22
Put,2024-12-11 03:16:31.739050584 +0000 UTC m=+6.257467212,2024-12-11 03:16:31.759142417 +0000 UTC m=+6.277559087,20
Put,2024-12-11 03:16:31.748019042 +0000 UTC m=+6.266435670,2024-12-11 03:16:31.762025792 +0000 UTC m=+6.280442462,14
Put,2024-12-11 03:16:31.749249 +0000 UTC m=+6.267665712,2024-12-11 03:16:31.766849 +0000 UTC m=+6.285265670,17
Put,2024-12-11 03:16:31.759144334 +0000 UTC m=+6.277561003,2024-12-11 03:16:31.772395459 +0000 UTC m=+6.290812128,13
Put,2024-12-11 03:16:31.7542045 +0000 UTC m=+6.272621128,2024-12-11 03:16:31.772436042 +0000 UTC m=+6.290852670,18
Put,2024-12-11 03:16:31.75761075 +0000 UTC m=+6.276027378,2024-12-11 03:16:31.779189334 +0000 UTC m=+6.297605962,21
Put,2024-12-11 03:16:31.748034084 +0000 UTC m=+6.266450753,2024-12-11 03:16:31.780988042 +0000 UTC m=+6.299404712,32
Put,2024-12-11 03:16:31.766850542 +0000 UTC m=+6.285267212,2024-12-11 03:16:31.782688542 +0000 UTC m=+6.301105170,15
Put,2024-12-11 03:16:31.762028584 +0000 UTC m=+6.280445253,2024-12-11 03:16:31.787863292 +0000 UTC m=+6.306279962,25
Put,2024-12-11 03:16:31.772437 +0000 UTC m=+6.290853628,2024-12-11 03:16:31.788275209 +0000 UTC m=+6.306691837,15
Put,2024-12-11 03:16:31.772397417 +0000 UTC m=+6.290814087,2024-12-11 03:16:31.788342917 +0000 UTC m=+6.306759545,15
Put,2024-12-11 03:16:31.779191834 +0000 UTC m=+6.297608503,2024-12-11 03:16:31.793060584 +0000 UTC m=+6.311477253,13
Get,2024-12-11 03:16:31.780989417 +0000 UTC m=+6.299406087,2024-12-11 03:16:31.799419167 +0000 UTC m=+6.317835837,18
Put,2024-12-11 03:16:31.78786525 +0000 UTC m=+6.306281920,2024-12-11 03:16:31.80153425 +0000 UTC m=+6.319950878,13
Put,2024-12-11 03:16:31.788344125 +0000 UTC m=+6.306760753,2024-12-11 03:16:31.803984084 +0000 UTC m=+6.322400753,15
Put,2024-12-11 03:16:31.782690334 +0000 UTC m=+6.301107003,2024-12-11 03:16:31.805856125 +0000 UTC m=+6.324272753,23
Put,2024-12-11 03:16:31.793172584 +0000 UTC m=+6.311589295,2024-12-11 03:16:31.809949542 +0000 UTC m=+6.328366170,16
Put,2024-12-11 03:16:31.788277167 +0000 UTC m=+6.306693795,2024-12-11 03:16:31.810028375 +0000 UTC m=+6.328445045,21
Put,2024-12-11 03:16:31.799421834 +0000 UTC m=+6.317838462,2024-12-11 03:16:31.815916042 +0000 UTC m=+6.334332670,16
Put,2024-12-11 03:16:31.801535875 +0000 UTC m=+6.319952545,2024-12-11 03:16:31.8208735 +0000 UTC m=+6.339290170,19
Get,2024-12-11 03:16:31.803985875 +0000 UTC m=+6.322402503,2024-12-11 03:16:31.82523075 +0000 UTC m=+6.343647378,21
Put,2024-12-11 03:16:31.805858125 +0000 UTC m=+6.324274795,2024-12-11 03:16:31.825440959 +0000 UTC m=+6.343857587,19
Put,2024-12-11 03:16:31.809951834 +0000 UTC m=+6.328368503,2024-12-11 03:16:31.826872042 +0000 UTC m=+6.345288712,16
Get,2024-12-11 03:16:31.810030542 +0000 UTC m=+6.328447170,2024-12-11 03:16:31.827116 +0000 UTC m=+6.345532670,17
Put,2024-12-11 03:16:31.815917875 +0000 UTC m=+6.334334545,2024-12-11 03:16:31.832544625 +0000 UTC m=+6.350961295,16
Put,2024-12-11 03:16:31.820875334 +0000 UTC m=+6.339292003,2024-12-11 03:16:31.839521917 +0000 UTC m=+6.357938587,18
Put,2024-12-11 03:16:31.825233459 +0000 UTC m=+6.343650087,2024-12-11 03:16:31.83988025 +0000 UTC m=+6.358296920,14
Get,2024-12-11 03:16:31.825442542 +0000 UTC m=+6.343859212,2024-12-11 03:16:31.840949 +0000 UTC m=+6.359365670,15
Put,2024-12-11 03:16:31.827117584 +0000 UTC m=+6.345534253,2024-12-11 03:16:31.8459015 +0000 UTC m=+6.364318170,18
Get,2024-12-11 03:16:31.82687375 +0000 UTC m=+6.345290420,2024-12-11 03:16:31.845942167 +0000 UTC m=+6.364358795,19
Get,2024-12-11 03:16:31.832546459 +0000 UTC m=+6.350963087,2024-12-11 03:16:31.850965792 +0000 UTC m=+6.369382462,18
Get,2024-12-11 03:16:31.839525625 +0000 UTC m=+6.357942295,2024-12-11 03:16:31.853832167 +0000 UTC m=+6.372248795,14
Put,2024-12-11 03:16:31.83988225 +0000 UTC m=+6.358298878,2024-12-11 03:16:31.854359625 +0000 UTC m=+6.372776295,14
Put,2024-12-11 03:16:31.840950959 +0000 UTC m=+6.359367587,2024-12-11 03:16:31.85726025 +0000 UTC m=+6.375676920,16
Put,2024-12-11 03:16:31.845943125 +0000 UTC m=+6.364359795,2024-12-11 03:16:31.862073 +0000 UTC m=+6.380489670,16
Put,2024-12-11 03:16:31.845903167 +0000 UTC m=+6.364319795,2024-12-11 03:16:31.86589475 +0000 UTC m=+6.384311378,19
Get,2024-12-11 03:16:31.850968125 +0000 UTC m=+6.369384753,2024-12-11 03:16:31.866343584 +0000 UTC m=+6.384760253,15
Put,2024-12-11 03:16:31.853834334 +0000 UTC m=+6.372250962,2024-12-11 03:16:31.868483917 +0000 UTC m=+6.386900545,14
Get,2024-12-11 03:16:31.854360959 +0000 UTC m=+6.372777628,2024-12-11 03:16:31.870774292 +0000 UTC m=+6.389190920,16
Put,2024-12-11 03:16:31.857262959 +0000 UTC m=+6.375679587,2024-12-11 03:16:31.871474542 +0000 UTC m=+6.389891212,14
Get,2024-12-11 03:16:31.862076709 +0000 UTC m=+6.380493337,2024-12-11 03:16:31.876900834 +0000 UTC m=+6.395317462,14
Get,2024-12-11 03:16:31.865896709 +0000 UTC m=+6.384313378,2024-12-11 03:16:31.87986 +0000 UTC m=+6.398276670,13
Get,2024-12-11 03:16:31.866345167 +0000 UTC m=+6.384761837,2024-12-11 03:16:31.882197834 +0000 UTC m=+6.400614462,15
Get,2024-12-11 03:16:31.868485792 +0000 UTC m=+6.386902420,2024-12-11 03:16:31.883195459 +0000 UTC m=+6.401612087,14
Put,2024-12-11 03:16:31.870775959 +0000 UTC m=+6.389192628,2024-12-11 03:16:31.883842334 +0000 UTC m=+6.402259003,13
Put,2024-12-11 03:16:31.876903084 +0000 UTC m=+6.395319712,2024-12-11 03:16:31.896224292 +0000 UTC m=+6.414640962,19
Put,2024-12-11 03:16:31.883843917 +0000 UTC m=+6.402260587,2024-12-11 03:16:31.897953667 +0000 UTC m=+6.416370295,14
Put,2024-12-11 03:16:31.879862334 +0000 UTC m=+6.398279003,2024-12-11 03:16:31.899242709 +0000 UTC m=+6.417659378,19
Put,2024-12-11 03:16:31.882199417 +0000 UTC m=+6.400616045,2024-12-11 03:16:31.904805834 +0000 UTC m=+6.423222503,22
Put,2024-12-11 03:16:31.871476834 +0000 UTC m=+6.389893503,2024-12-11 03:16:31.906523709 +0000 UTC m=+6.424940378,35
Get,2024-12-11 03:16:31.883197084 +0000 UTC m=+6.401613712,2024-12-11 03:16:31.906567542 +0000 UTC m=+6.424984212,23
Put,2024-12-11 03:16:31.899328709 +0000 UTC m=+6.417745420,2024-12-11 03:16:31.913949292 +0000 UTC m=+6.432365920,14
Put,2024-12-11 03:16:31.896227375 +0000 UTC m=+6.414644003,2024-12-11 03:16:31.915019584 +0000 UTC m=+6.433436212,18
Put,2024-12-11 03:16:31.897955959 +0000 UTC m=+6.416372628,2024-12-11 03:16:31.917888334 +0000 UTC m=+6.436304962,19
Put,2024-12-11 03:16:31.906568584 +0000 UTC m=+6.424985212,2024-12-11 03:16:31.917915334 +0000 UTC m=+6.436331962,11
Put,2024-12-11 03:16:31.904808125 +0000 UTC m=+6.423224753,2024-12-11 03:16:31.919767084 +0000 UTC m=+6.438183712,14
Put,2024-12-11 03:16:31.906525459 +0000 UTC m=+6.424942087,2024-12-11 03:16:31.921052667 +0000 UTC m=+6.439469295,14
Put,2024-12-11 03:16:31.913956 +0000 UTC m=+6.432372670,2024-12-11 03:16:31.926632709 +0000 UTC m=+6.445049337,12
Put,2024-12-11 03:16:31.915021209 +0000 UTC m=+6.433437837,2024-12-11 03:16:31.928209084 +0000 UTC m=+6.446625753,13
Put,2024-12-11 03:16:31.917916459 +0000 UTC m=+6.436333128,2024-12-11 03:16:31.936774334 +0000 UTC m=+6.455191003,18
Get,2024-12-11 03:16:31.917889875 +0000 UTC m=+6.436306545,2024-12-11 03:16:31.937334417 +0000 UTC m=+6.455751045,19
Put,2024-12-11 03:16:31.921054917 +0000 UTC m=+6.439471545,2024-12-11 03:16:31.942200042 +0000 UTC m=+6.460616670,21
Get,2024-12-11 03:16:31.919768917 +0000 UTC m=+6.438185545,2024-12-11 03:16:31.942726375 +0000 UTC m=+6.461143003,22
Put,2024-12-11 03:16:31.926634459 +0000 UTC m=+6.445051087,2024-12-11 03:16:31.945116875 +0000 UTC m=+6.463533503,18
Put,2024-12-11 03:16:31.928211042 +0000 UTC m=+6.446627670,2024-12-11 03:16:31.945938042 +0000 UTC m=+6.464354670,17
Put,2024-12-11 03:16:31.93733625 +0000 UTC m=+6.455752878,2024-12-11 03:16:31.952369375 +0000 UTC m=+6.470786045,15
Put,2024-12-11 03:16:31.936776584 +0000 UTC m=+6.455193212,2024-12-11 03:16:31.952925334 +0000 UTC m=+6.471341962,16
Get,2024-12-11 03:16:31.942202417 +0000 UTC m=+6.460619045,2024-12-11 03:16:31.958730625 +0000 UTC m=+6.477147295,16
Put,2024-12-11 03:16:31.942728209 +0000 UTC m=+6.461144878,2024-12-11 03:16:31.959705209 +0000 UTC m=+6.478121878,16
Get,2024-12-11 03:16:31.945118875 +0000 UTC m=+6.463535545,2024-12-11 03:16:31.962576834 +0000 UTC m=+6.480993462,17
Put,2024-12-11 03:16:31.945939209 +0000 UTC m=+6.464355837,2024-12-11 03:16:31.96510725 +0000 UTC m=+6.483523920,19
Get,2024-12-11 03:16:31.952927084 +0000 UTC m=+6.471343712,2024-12-11 03:16:31.967304375 +0000 UTC m=+6.485721045,14
Put,2024-12-11 03:16:31.959706584 +0000 UTC m=+6.478123212,2024-12-11 03:16:31.975263959 +0000 UTC m=+6.493680587,15
Put,2024-12-11 03:16:31.965108917 +0000 UTC m=+6.483525587,2024-12-11 03:16:31.979494 +0000 UTC m=+6.497910628,14
Put,2024-12-11 03:16:31.962578542 +0000 UTC m=+6.480995212,2024-12-11 03:16:31.981097625 +0000 UTC m=+6.499514295,18
Put,2024-12-11 03:16:31.9523715 +0000 UTC m=+6.470788170,2024-12-11 03:16:31.983021792 +0000 UTC m=+6.501438420,30
Put,2024-12-11 03:16:31.958733042 +0000 UTC m=+6.477149712,2024-12-11 03:16:31.986034209 +0000 UTC m=+6.504450878,27
Get,2024-12-11 03:16:31.967307875 +0000 UTC m=+6.485724545,2024-12-11 03:16:31.988736042 +0000 UTC m=+6.507152670,21
Put,2024-12-11 03:16:31.975275417 +0000 UTC m=+6.493692045,2024-12-11 03:16:31.990117667 +0000 UTC m=+6.508534337,14
Put,2024-12-11 03:16:31.981099334 +0000 UTC m=+6.499516003,2024-12-11 03:16:31.992563792 +0000 UTC m=+6.510980420,11
Put,2024-12-11 03:16:31.979496084 +0000 UTC m=+6.497912753,2024-12-11 03:16:31.993157959 +0000 UTC m=+6.511574628,13
Put,2024-12-11 03:16:31.98603625 +0000 UTC m=+6.504452878,2024-12-11 03:16:31.998788625 +0000 UTC m=+6.517205295,12
Get,2024-12-11 03:16:31.988737792 +0000 UTC m=+6.507154420,2024-12-11 03:16:32.003009959 +0000 UTC m=+6.521426628,14
Put,2024-12-11 03:16:31.983024375 +0000 UTC m=+6.501441045,2024-12-11 03:16:32.003310542 +0000 UTC m=+6.521727170,20
Put,2024-12-11 03:16:31.992565125 +0000 UTC m=+6.510981795,2024-12-11 03:16:32.003706334 +0000 UTC m=+6.522122962,11
Put,2024-12-11 03:16:31.990119125 +0000 UTC m=+6.508535795,2024-12-11 03:16:32.008255584 +0000 UTC m=+6.526672253,18
Get,2024-12-11 03:16:31.993159084 +0000 UTC m=+6.511575753,2024-12-11 03:16:32.009306084 +0000 UTC m=+6.527722712,16
Get,2024-12-11 03:16:31.998790334 +0000 UTC m=+6.517207003,2024-12-11 03:16:32.010347417 +0000 UTC m=+6.528764087,11
Get,2024-12-11 03:16:32.003312084 +0000 UTC m=+6.521728712,2024-12-11 03:16:32.016198417 +0000 UTC m=+6.534615087,12
Put,2024-12-11 03:16:32.003170042 +0000 UTC m=+6.521586712,2024-12-11 03:16:32.016822459 +0000 UTC m=+6.535239128,13
Put,2024-12-11 03:16:32.003707875 +0000 UTC m=+6.522124503,2024-12-11 03:16:32.018819625 +0000 UTC m=+6.537236295,15
Put,2024-12-11 03:16:32.008257834 +0000 UTC m=+6.526674503,2024-12-11 03:16:32.02321175 +0000 UTC m=+6.541628420,14
Put,2024-12-11 03:16:32.009307709 +0000 UTC m=+6.527724378,2024-12-11 03:16:32.023908709 +0000 UTC m=+6.542325378,14
Put,2024-12-11 03:16:32.018821792 +0000 UTC m=+6.537238420,2024-12-11 03:16:32.038424376 +0000 UTC m=+6.556841045,19
Get,2024-12-11 03:16:32.010349042 +0000 UTC m=+6.528765670,2024-12-11 03:16:32.040777834 +0000 UTC m=+6.559194504,30
Put,2024-12-11 03:16:32.023215125 +0000 UTC m=+6.541631795,2024-12-11 03:16:32.045089417 +0000 UTC m=+6.563506087,21
Put,2024-12-11 03:16:32.016824084 +0000 UTC m=+6.535240753,2024-12-11 03:16:32.045681626 +0000 UTC m=+6.564098295,28
Put,2024-12-11 03:16:32.0162005 +0000 UTC m=+6.534617170,2024-12-11 03:16:32.047002001 +0000 UTC m=+6.565418670,30
Put,2024-12-11 03:16:32.038427376 +0000 UTC m=+6.556844004,2024-12-11 03:16:32.049619417 +0000 UTC m=+6.568036045,11
Put,2024-12-11 03:16:32.023910375 +0000 UTC m=+6.542327045,2024-12-11 03:16:32.049781417 +0000 UTC m=+6.568198045,25
Put,2024-12-11 03:16:32.040781459 +0000 UTC m=+6.559198087,2024-12-11 03:16:32.055942167 +0000 UTC m=+6.574358837,15
Put,2024-12-11 03:16:32.045092709 +0000 UTC m=+6.563509379,2024-12-11 03:16:32.057659459 +0000 UTC m=+6.576076087,12
Put,2024-12-11 03:16:32.045683251 +0000 UTC m=+6.564099879,2024-12-11 03:16:32.060152542 +0000 UTC m=+6.578569212,14
Put,2024-12-11 03:16:32.047004001 +0000 UTC m=+6.565420670,2024-12-11 03:16:32.064113834 +0000 UTC m=+6.582530504,17
Put,2024-12-11 03:16:32.049621126 +0000 UTC m=+6.568037795,2024-12-11 03:16:32.066271876 +0000 UTC m=+6.584688545,16
Put,2024-12-11 03:16:32.049784709 +0000 UTC m=+6.568201337,2024-12-11 03:16:32.066720167 +0000 UTC m=+6.585136837,16
Put,2024-12-11 03:16:32.057661751 +0000 UTC m=+6.576078420,2024-12-11 03:16:32.072277042 +0000 UTC m=+6.590693712,14
Put,2024-12-11 03:16:32.055944876 +0000 UTC m=+6.574361504,2024-12-11 03:16:32.074402501 +0000 UTC m=+6.592819129,18
Get,2024-12-11 03:16:32.066273376 +0000 UTC m=+6.584690045,2024-12-11 03:16:32.078989001 +0000 UTC m=+6.597405629,12
Put,2024-12-11 03:16:32.064115751 +0000 UTC m=+6.582532420,2024-12-11 03:16:32.080275542 +0000 UTC m=+6.598692170,16
Put,2024-12-11 03:16:32.060154334 +0000 UTC m=+6.578570962,2024-12-11 03:16:32.082762584 +0000 UTC m=+6.601179212,22
Get,2024-12-11 03:16:32.066721584 +0000 UTC m=+6.585138212,2024-12-11 03:16:32.086174251 +0000 UTC m=+6.604590920,19
Put,2024-12-11 03:16:32.074404626 +0000 UTC m=+6.592821254,2024-12-11 03:16:32.090004834 +0000 UTC m=+6.608421504,15
Put,2024-12-11 03:16:32.072279209 +0000 UTC m=+6.590695879,2024-12-11 03:16:32.094142792 +0000 UTC m=+6.612559462,21
Get,2024-12-11 03:16:32.078990876 +0000 UTC m=+6.597407545,2024-12-11 03:16:32.095580459 +0000 UTC m=+6.613997129,16
Put,2024-12-11 03:16:32.080276751 +0000 UTC m=+6.598693420,2024-12-11 03:16:32.101233751 +0000 UTC m=+6.619650420,20
Put,2024-12-11 03:16:32.082764417 +0000 UTC m=+6.601181045,2024-12-11 03:16:32.101961792 +0000 UTC m=+6.620378420,19
Put,2024-12-11 03:16:32.086176167 +0000 UTC m=+6.604592795,2024-12-11 03:16:32.104950126 +0000 UTC m=+6.623366795,18
Put,2024-12-11 03:16:32.090006667 +0000 UTC m=+6.608423337,2024-12-11 03:16:32.106260709 +0000 UTC m=+6.624677379,16
Put,2024-12-11 03:16:32.095582001 +0000 UTC m=+6.613998629,2024-12-11 03:16:32.113216959 +0000 UTC m=+6.631633587,17
Put,2024-12-11 03:16:32.094144459 +0000 UTC m=+6.612561087,2024-12-11 03:16:32.114512542 +0000 UTC m=+6.632929212,20
Put,2024-12-11 03:16:32.101963584 +0000 UTC m=+6.620380254,2024-12-11 03:16:32.117824792 +0000 UTC m=+6.636241462,15
Put,2024-12-11 03:16:32.101235667 +0000 UTC m=+6.619652295,2024-12-11 03:16:32.120790876 +0000 UTC m=+6.639207545,19
Put,2024-12-11 03:16:32.105799709 +0000 UTC m=+6.624216337,2024-12-11 03:16:32.122203042 +0000 UTC m=+6.640619712,16
Put,2024-12-11 03:16:32.106262292 +0000 UTC m=+6.624678962,2024-12-11 03:16:32.122445792 +0000 UTC m=+6.640862462,16
Put,2024-12-11 03:16:32.114514417 +0000 UTC m=+6.632931087,2024-12-11 03:16:32.134710251 +0000 UTC m=+6.653126920,20
Put,2024-12-11 03:16:32.113219417 +0000 UTC m=+6.631636087,2024-12-11 03:16:32.134758167 +0000 UTC m=+6.653174795,21
Get,2024-12-11 03:16:32.120792501 +0000 UTC m=+6.639209170,2024-12-11 03:16:32.139837084 +0000 UTC m=+6.658253754,19
Put,2024-12-11 03:16:32.117827084 +0000 UTC m=+6.636243754,2024-12-11 03:16:32.140144042 +0000 UTC m=+6.658560670,22
Put,2024-12-11 03:16:32.122446917 +0000 UTC m=+6.640863587,2024-12-11 03:16:32.142766834 +0000 UTC m=+6.661183504,20
Put,2024-12-11 03:16:32.122205001 +0000 UTC m=+6.640621670,2024-12-11 03:16:32.144640459 +0000 UTC m=+6.663057129,22
